"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,145499924
2019,3,145499915
2019,3,145499916
2019,4,145499919
2019,1,145519757
2019,4,145499941
2019,4,145499946
2019,4,145499950
2019,4,145519804
2019,4,145519811
2019,4,145519822
2019,4,145499977
2019,4,145519834
2019,4,145499999
2019,4,145499998
2019,2,145520173
2019,4,145500329
2019,4,145500363
2019,4,145500365
2019,4,145500361
2019,4,145500386
2019,4,145500415
2019,4,145500419
2019,4,145500427
2019,4,145500455
2019,1,145500475
2019,1,145500476
2019,4,145520331
2019,4,145520332
2019,4,145500498
2019,4,145520391
2019,4,145520407
2019,4,145500611
2019,4,145520439
2019,4,145500626
2019,3,145520467
2019,3,145520468
2019,4,145500688
2019,4,145500750
2019,4,145520548
2019,4,145520565
2019,3,145500779
2019,3,145500780
2019,4,145520590
2019,4,145520588
2019,4,145520628
2019,4,145520626
2019,4,145520646
2019,4,145500858
2019,4,145520677
2019,3,145500972
2019,3,145520760
2019,4,145520781
2019,4,145501069
2019,3,145520813
2019,4,145501099
2019,4,145520836
2019,4,145501128
2019,4,145501126
2019,4,145501142
2019,4,145501144
2019,4,145501156
2019,4,145520874
2019,4,145520875
2019,4,145520891
2019,4,145521211
2019,4,145521222
2019,3,145520916
2019,3,145520918
2019,4,145521246
2019,4,145521277
2019,3,145520950
2019,4,145520962
2019,4,145521342
2019,3,145521354
2019,3,145520968
2019,4,145521373
2019,4,145520981
2019,1,145520993
2019,1,145521397
2019,4,145521409
2019,4,145521443
2019,4,145521055
2019,4,145521068
2019,1,145521507
2019,1,145521063
2019,1,145521066
2019,4,145521124
2019,4,145519740
2019,4,145499911
2019,4,145499913
2019,4,145499914
2019,4,145499938
2019,3,145499937
2019,3,145499936
2019,1,145499945
2019,4,145519799
2019,4,145499963
2019,4,145499962
2019,1,145499981
2019,1,145499980
2019,4,145499982
2019,4,145519837
2019,1,145499996
2019,4,145519853
2019,4,145519852
2019,4,145519851
2019,4,145500024
2019,4,145500043
2019,4,145500057
2019,4,145500061
2019,4,145500069
2019,4,145519908
2019,4,145500080
2019,4,145500086
2019,4,145520166
2019,4,145520179
2019,4,145500335
2019,4,145520277
2019,4,145500480
2019,4,145520360
2019,4,145520393
2019,3,145520434
2019,3,145520435
2019,2,145500623
2019,2,145520449
2019,2,145520451
2019,1,145500634
2019,4,145520474
2019,4,145520490
2019,4,145520502
2019,3,145520512
2019,3,145520513
2019,4,145500732
2019,3,145500755
2019,3,145500756
2019,3,145500770
2019,3,145520571
2019,1,145500772
2019,3,145500783
2019,4,145500810
2019,4,145500821
2019,4,145500827
2019,4,145500855
2019,4,145520675
2019,4,145520673
2019,4,145520676
2019,4,145500897
2019,4,145500900
2019,4,145500898
2019,4,145520686
2019,4,145500918
2019,4,145500933
2019,4,145500961
2019,4,145520735
2019,4,145520745
2019,4,145500988
2019,4,145501029
2019,4,145501037
2019,4,145501063
2019,3,145501090
2019,3,145501091
2019,4,145520832
2019,4,145520833
2019,4,145520839
2019,4,145501116
2019,4,145501120
2019,4,145520848
2019,1,145520881
2019,4,145521188
2019,4,145521189
2019,4,145521231
2019,4,145521237
2019,1,145521247
2019,1,145521254
2019,4,145521275
2019,4,145521297
2019,4,145521322
2019,3,145521347
2019,4,145520973
2019,4,145521376
2019,4,145521375
2019,4,145521384
2019,4,145521395
2019,4,145521411
2019,4,145521421
2019,3,145521464
2019,3,145521025
2019,3,145521039
2019,3,145521474
2019,3,145521530
2019,4,145521531
2019,4,145521107
2019,4,145521559
2019,4,145523258
2019,4,145523260
2019,4,145523264
2019,4,145528088
2019,4,145528089
2019,1,145528094
2019,4,145523273
2019,4,145523274
2019,4,145523281
2019,4,145523283
2019,4,145523279
2019,4,145523285
2019,4,145523296
2019,4,145528108
2019,3,145528110
2019,3,145528111
2019,4,145523309
2019,4,145523310
2019,4,145523311
2019,4,145528116
2019,4,145523324
2019,4,145522525
2019,4,145522526
2019,4,145527302
2019,3,145527320
2019,4,145522561
2019,4,145522562
2019,4,145527341
2019,4,145527359
2019,4,145527387
2019,4,145522596
2019,4,145522601
2019,4,145522610
2019,4,145522613
2019,3,145522618
2019,3,145522619
2019,2,145527425
2019,2,145527426
2019,4,145527431
2019,4,145527437
2019,4,145522636
2019,4,145527444
2019,4,145527445
2019,4,145522645
2019,1,145522651
2019,4,145522657
2019,4,145527491
2019,4,145522666
2019,4,145527500
2019,4,145527504
2019,4,145527505
2019,4,145522675
2019,4,145522676
2019,4,145527517
2019,4,145522682
2019,4,145527521
2019,4,145527522
2019,4,145522692
2019,4,145527531
2019,4,145527532
2019,3,145527541
2019,3,145527542
2019,1,145527547
2019,1,145522703
2019,3,145522705
2019,4,145522710
2019,4,145522711
2019,4,145522731
2019,4,145522734
2019,4,145527582
2019,4,145527584
2019,1,145522741
2019,4,145527594
2019,4,145527595
2019,1,145527604
