"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,142230230
2019,21,142230232
2019,21,142230233
2019,21,142230234
2019,21,142230235
2019,21,142230239
2019,21,142230241
2019,21,142230238
2019,21,142230240
2019,21,142230242
2019,21,142230243
2019,21,142230244
2019,21,142230245
2019,21,142230246
2019,21,142230247
2019,21,142230248
2019,21,142230249
2019,21,142230250
2019,21,142230251
2019,21,142230253
2019,21,142230256
2019,21,142230255
2019,21,142230258
2019,21,142230259
2019,21,142230260
2019,21,142230261
2019,21,142230263
2019,21,142230262
2019,21,142230265
2019,21,142230264
2019,21,142230266
2019,22,142230267
2019,21,142230272
2019,21,142230275
2019,21,142230274
2019,21,142230277
2019,21,142230278
2019,22,142230280
2019,21,142230282
2019,21,142230283
2019,22,142230284
2019,21,142230285
2019,21,142230288
2019,21,142230292
2019,21,142230291
2019,21,142230293
2019,21,142230294
2019,21,142230295
2019,21,142230297
2019,21,142230296
2019,21,142230301
2019,21,142230299
2019,21,142230298
2019,22,142230300
2019,21,142230302
2019,21,142230303
2019,21,142230304
2019,21,142230305
2019,21,142230307
2019,21,142230306
2019,21,142230308
2019,21,142230309
2019,21,142230310
2019,21,142230314
2019,21,142230316
2019,21,142230317
2019,21,142230319
2019,21,142230318
2019,21,142230321
2019,21,142230323
2019,21,142230324
2019,21,142230325
2019,21,142230327
2019,21,142230326
2019,21,142230328
2019,21,142230332
2019,21,142230333
2019,21,142230334
2019,21,142230335
2019,21,142230336
2019,21,142230337
2019,21,142230338
2019,21,142230339
2019,22,142230342
2019,21,142230344
2019,21,142230343
2019,21,142230345
2019,21,142230347
2019,21,142230348
2019,21,142230346
2019,21,142230351
2019,21,142230352
2019,21,142230354
2019,21,142230355
2019,21,142230356
2019,21,142230359
2019,21,142230360
2019,21,142230362
2019,21,142230363
2019,21,142230364
2019,21,142230366
2019,21,142230365
2019,21,142230368
2019,21,142230367
2019,21,142230370
2019,21,142230369
2019,21,142230371
2019,21,142230373
2019,21,142230372
2019,21,142230377
2019,21,142230379
2019,21,142230381
2019,21,142230382
2019,21,142230384
2019,21,142230383
2019,21,142230385
2019,21,142230386
2019,21,142230387
2019,21,142230388
2019,21,142230390
2019,21,142230389
2019,21,142230391
2019,21,142230394
2019,21,142230395
2019,21,142230396
2019,21,142230397
2019,21,142230398
2019,21,142230399
2019,21,142230400
2019,21,145527424
2019,21,145522625
2019,21,142230403
2019,21,142230404
2019,21,142230405
2019,21,142230406
2019,21,142230407
2019,21,142230408
2019,21,142230411
2019,21,142230412
2019,21,142230413
2019,21,142230418
2019,21,142230417
2019,21,142230416
2019,21,142230415
2019,21,142230420
2019,21,142230421
2019,21,142230422
2019,21,142230425
2019,21,142230426
2019,21,142230429
2019,21,142230428
2019,21,142230432
2019,21,145527436
2019,21,142230450
2019,21,142230455
2019,21,145527449
2019,22,145527462
2019,21,145527466
2019,21,142230466
2019,21,142230469
2019,21,142230474
2019,21,142230486
2019,21,142230497
2019,21,142230505
2019,21,145522660
2019,21,142230516
2019,21,142230522
2019,21,142230520
2019,21,142230540
2019,21,142230560
2019,21,142230563
2019,21,145527487
2019,21,142230597
2019,21,142230609
2019,21,142230610
2019,21,142230619
2019,21,145527492
2019,21,142230627
2019,21,145522664
2019,21,142230642
2019,21,142230641
2019,21,142230640
2019,21,142230646
2019,21,142230649
2019,21,145527501
2019,21,142230661
2019,21,142230668
2019,21,142230667
2019,21,142230666
2019,21,142230671
2019,21,142230669
2019,21,142230670
2019,21,142230675
2019,21,142230677
2019,21,145522671
2019,21,142230681
2019,21,142175624
2019,21,142175625
2019,21,142230690
2019,21,142230696
2019,21,142230694
2019,21,142230710
2019,21,145522685
2019,21,142230712
2019,21,145522686
2019,21,145527523
2019,21,145527527
2019,21,142230726
2019,21,142230733
2019,21,142230730
2019,21,142230732
2019,21,142230743
2019,21,142230744
2019,21,145527537
2019,21,142230749
2019,21,142230751
2019,21,142230750
2019,21,142175630
2019,21,142230757
2019,21,145527549
2019,21,142230767
2019,21,142230771
2019,21,142230775
2019,21,142230780
2019,21,142230779
2019,21,142230788
2019,21,142230791
2019,21,142230795
2019,21,142175634
2019,21,142175636
2019,21,142230807
2019,21,142230808
2019,21,142230809
2019,21,145527548
2019,21,142230824
2019,21,142230827
2019,21,142230832
2019,21,142230836
2019,21,142230835
2019,21,142230839
2019,21,142230838
2019,21,142230840
2019,21,142230847
2019,21,142230848
2019,21,142230861
2019,21,142230866
2019,21,142230875
2019,21,142230876
2019,21,142230879
2019,21,142230888
2019,21,142230889
2019,21,142230892
2019,21,142230904
2019,21,142230905
2019,21,145522717
2019,21,145522718
2019,21,142230918
2019,21,142230928
2019,21,142175649
2019,21,142230936
2019,21,142230934
2019,21,142175652
2019,21,142230951
2019,21,142230950
2019,21,142230955
2019,21,142230956
2019,21,142230966
2019,21,142230986
2019,21,142230993
2019,21,142230994
2019,21,142231007
2019,21,142231011
2019,21,142231012
2019,21,145522719
2019,21,142231016
2019,21,142231021
2019,21,142231020
2019,21,142231022
2019,21,142231023
2019,21,142231033
2019,21,142231039
2019,21,142231038
2019,21,142231043
2019,21,142231042
2019,21,142231044
2019,21,142175672
2019,21,142175671
2019,21,142231050
2019,21,142231051
2019,21,142175675
2019,21,145522727
2019,21,142231057
2019,21,142231067
2019,21,142231066
2019,21,142231070
2019,21,142231073
2019,21,145527581
2019,21,145527580
2019,22,145527587
2019,21,142231082
2019,21,142231083
2019,21,145522740
2019,21,145527602
2019,21,145522750
2019,21,145527609
2019,21,145527610
2019,21,145527616
2019,21,145527634
2019,21,145527647
2019,21,145522796
2019,21,145522801
2019,21,145522803
2019,21,145527691
2019,21,145522812
2019,21,145527696
2019,21,145527697
2019,21,145527698
2019,21,145527701
2019,22,145527708
2019,22,145522821
2019,22,145527707
2019,21,145522824
2019,21,145522825
2019,21,145527718
2019,21,145522838
2019,21,145522842
2019,21,145522841
2019,21,145527728
2019,21,145522856
2019,21,145522855
2019,21,145522860
2019,21,145527741
2019,21,145527743
2019,21,145522870
2019,21,145522874
2019,21,145527764
2019,21,145527771
2019,21,145527772
2019,21,145527773
2019,21,145527776
2019,21,145522887
2019,21,145522888
2019,21,145527787
2019,21,145527792
2019,21,145527799
2019,21,145527813
2019,21,145527812
2019,21,145522908
2019,21,145527834
2019,21,145527835
2019,21,145527838
2019,21,145527854
