"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,124068247,10,
2019,124068307,1,
2019,124068326,9,
2019,124068378,6,
2019,124063274,10,
2019,124068393,9,
2019,124068459,10,
2019,124068460,10,
2019,124068461,10,
2019,124068458,10,
2019,124068465,9,
2019,124068493,2,
2019,124068541,17,
2019,124073365,1,
2019,124073364,1,
2019,124073363,1,
2019,124068590,10,
2019,124068596,1,
2019,124068662,10,
2019,124068660,10,
2019,124068661,10,
2019,124068712,10,
2019,124068721,9,
2019,124068754,9,
2019,124068942,1,
2019,123560051,2,
2019,124026145,1,
2019,124026242,2,
2019,124029536,10,
2019,124029541,10,
2019,124026268,10,
2019,124029540,10,
2019,124029539,10,
2019,124029597,1,
2019,124029653,1,
2019,124033561,1,
2019,124033562,1,
2019,124029802,2,
2019,124029823,9,
2019,124029873,1,
2019,124029928,10,
2019,124029361,9,
2019,124026185,2,
2019,124026186,2,
2019,124029533,1,
2019,124029555,9,
2019,123905002,1,
2019,129969518,9,
2019,127353289,9,
2019,127353317,9,
2019,123908322,9,
2019,123904729,9,
2019,129980732,1,
2019,129969655,6,
2019,123908101,2,
2019,123904636,10,
2019,123904653,9,
2019,123908064,9,
2019,123908070,2,
2019,123908324,1,
2019,123908325,1,
2019,123905049,9,
2019,123905101,1,
2019,128623380,6,
2019,128623401,10,
2019,131713255,9,
2019,131713403,10,
2019,131713496,9,
2019,131713663,1,
2019,123550135,1,
2019,124073044,9,
2019,124068116,9,
2019,124068114,9,
2019,124073041,9,
2019,124073047,9,
2019,124073042,9,
2019,124068115,9,
2019,124073043,9,
2019,124068206,1,
2019,124063241,6,
2019,124063252,1,
2019,131708847,1,
2019,131709333,9,
2019,131687033,6,
2019,131710219,2,
2019,131713864,2,
2019,131710337,9,
2019,131710456,1,
2019,131714031,1,
2019,123562574,2,
2019,125551651,8,
2019,125546796,9,
2019,125555675,1,
2019,125546827,9,
2019,125551571,1,
2019,125551729,1,
2019,129151494,2,
2019,129146779,9,
2019,129146782,8,
2019,129146811,10,
2019,129146840,9,
2019,129147029,9,
2019,129147047,1,
2019,125546401,6,
2019,131708567,6,
2019,131709258,1,
2019,131709265,1,
2019,131709576,10,
2019,131713448,9,
2019,131713493,9,
2019,131710089,1,
2019,131713770,1,
2019,131713772,1,
2019,131710088,1,
2019,131713927,9,
2019,131714034,9,
2019,131710513,9,
2019,131710582,8,
2019,123908073,2,
2019,123905029,1,
2019,123905069,1,
2019,131686836,1,
2019,131686840,8,
2019,131686954,6,
2019,131686955,6,
2019,131686985,9,
2019,131687036,2,
2019,131687049,8,
2019,131708523,8,
2019,131708524,8,
2019,131687063,10,
2019,131687062,10,
2019,131687085,1,
2019,131687084,1,
2019,131687135,6,
2019,131708625,6,
2019,131687388,1,
2019,131708962,9,
2019,131708995,9,
2019,131687616,2,
2019,131709150,9,
2019,131709149,9,
2019,131709182,9,
2019,131687784,9,
2019,131687795,1,
2019,131687889,9,
2019,131712922,9,
2019,131712939,1,
2019,131712944,17,
2019,131709290,9,
2019,131713012,1,
2019,131709312,1,
2019,131713179,10,
2019,131709374,10,
2019,131713337,2,
2019,131713339,2,
2019,131713486,9,
2019,131713665,1,
2019,131713726,9,
2019,131713852,2,
2019,131710245,10,
2019,131713886,9,
2019,131710250,9,
2019,131710252,9,
2019,131710253,9,
2019,131713903,9,
2019,131710351,10,
2019,131714011,1,
2019,131710523,1,
2019,131710621,1,
2019,131714191,9,
2019,131714334,1,
2019,131714435,9,
2019,131714494,1,
2019,131714571,2,
2019,131714592,17,
2019,131714606,1,
2019,131714731,10,
2019,131714730,10,
2019,131714729,10,
2019,131711172,1,
2019,131714872,9,
2019,131714956,10,
2019,131715003,1,
2019,131711283,10,
2019,131715055,1,
2019,131715203,9,
2019,131715212,8,
2019,131715269,10,
2019,131715268,10,
2019,131715308,8,
2019,123904694,9,
2019,131687130,6,
2019,131687130,1,
2019,131708655,1,
2019,131687197,6,
2019,131708699,8,
2019,131687281,1,
2019,131687484,1,
2019,131709008,2,
2019,131709051,1,
2019,131709095,9,
2019,131709091,9,
2019,131713023,6,
2019,131713382,1,
2019,131713381,1,
2019,131713542,2,
2019,131714409,9,
2019,131714481,9,
2019,131714579,9,
2019,131714582,2,
2019,131714683,9,
2019,131714705,1,
2019,131711198,9,
2019,131715100,1,
2019,125546564,1,
2019,125551259,6,
2019,126048530,9,
2019,126048554,2,
2019,126047487,1,
2019,126047546,9,
2019,126048596,9,
2019,126048620,9,
2019,126048681,9,
2019,126048701,9,
2019,126047754,1,
2019,126047775,2,
2019,126048754,8,
2019,126048759,1,
2019,126048766,1,
2019,126048805,2,
2019,126048806,2,
2019,126048868,10,
2019,126048875,1,
2019,126048897,1,
2019,126048900,9,
2019,126048902,9,
2019,126049022,1,
2019,129151479,1,
2019,129151479,8,
2019,129146725,1,
2019,129155578,10,
2019,131708389,6,
2019,131708390,6,
2019,131687074,10,
2019,131687075,10,
2019,131687082,9,
2019,131687157,9,
2019,131687207,6,
2019,131687334,9,
2019,131708834,8,
2019,131708911,9,
2019,131687681,9,
2019,131709145,1,
2019,131687792,9,
2019,131713003,1,
2019,131713059,9,
2019,131709564,6,
2019,131709644,10,
2019,131710150,9,
2019,131710148,9,
2019,131710149,9,
2019,131713816,9,
2019,131710145,9,
2019,131710146,9,
2019,131713821,9,
2019,131713815,9,
2019,131713833,1,
2019,131710221,2,
2019,131713897,9,
2019,131710262,9,
2019,131713940,1,
2019,131714064,1,
2019,131714268,1,
2019,131714287,9,
2019,131714727,1,
2019,131714749,1,
2019,131714977,10,
2019,131715086,1,
2019,127353211,9,
2019,127358489,2,
2019,128362721,1,
2019,128362722,1,
2019,128362720,1,
2019,128361872,9,
2019,128361868,9,
2019,127358382,1,
2019,128361904,10,
2019,128361869,9,
2019,128361885,2,
2019,128361942,9,
2019,128361977,1,
2019,128362116,9,
2019,127358400,1,
2019,127358399,1,
2019,128362115,9,
2019,128362171,9,
2019,128362201,1,
2019,128362727,1,
2019,128362726,1,
2019,128362729,1,
2019,128362762,10,
2019,128362840,2,
2019,128362850,1,
2019,127353693,10,
2019,127353765,1,
2019,127353559,1,
2019,127353592,1,
2019,127353591,1,
2019,124033248,9,
2019,129968893,9,
2019,129969119,10,
2019,129980477,6,
2019,129973850,9,
2019,129968992,9,
2019,129969038,9,
2019,129969136,1,
2019,129969395,6,
2019,129969401,6,
2019,129969396,6,
2019,129969399,6,
2019,129969398,6,
2019,129969663,6,
2019,129969335,1,
2019,129973910,1,
2019,129969336,1,
2019,129973909,1,
2019,129969630,6,
2019,129969661,1,
2019,129969935,1,
2019,129973832,6,
2019,123905044,1,
2019,131686831,9,
2019,131687635,9,
2019,131687636,9,
2019,131709068,9,
2019,131709065,9,
2019,131709416,8,
2019,131713214,8,
2019,131709417,8,
2019,131713210,8,
2019,124029657,6,
2019,124033508,9,
2019,124033565,1,
2019,124033587,9,
2019,124033617,10,
2019,125546463,10,
2019,125546500,1,
2019,125546501,1,
2019,125546504,9,
2019,125546510,1,
2019,125546511,1,
2019,125546519,1,
2019,123550381,1,
2019,123905072,10,
2019,128623386,9,
2019,128623385,9,
2019,128623424,6,
2019,128618323,6,
