"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2019,6,139034792
2019,9,139044723
2019,6,139034845
2019,6,139034846
2019,9,139044780
2019,9,139034862
2019,9,139044797
2019,6,139034882
2019,8,139040175
2019,8,139040174
2019,6,139040180
2019,6,139040178
2019,9,139044839
2019,6,139040198
2019,6,139040200
2019,6,139040205
2019,6,139044860
2019,6,139034915
2019,9,139044872
2019,6,139044881
2019,6,139044880
2019,9,139044888
2019,9,139040222
2019,9,139044896
2019,2,139044899
2019,6,139044901
2019,9,139044898
2019,9,139040234
2019,9,139044912
2019,6,139044923
2019,9,139040255
2019,6,139040257
2019,6,139040256
2019,6,139044933
2019,6,139044934
2019,6,139044935
2019,6,139040260
2019,6,139040264
2019,9,139044950
2019,6,139044956
2019,6,139044957
2019,9,139034971
2019,6,139034975
2019,6,139034974
2019,9,139044980
2019,6,139044985
2019,6,139040292
2019,6,139044984
2019,6,139044989
2019,9,139044990
2019,8,139045016
2019,6,139045031
2019,6,139045030
2019,8,139040327
2019,6,139040326
2019,9,139040332
2019,1,139040335
2019,6,139040339
2019,9,139040359
2019,6,139040362
2019,6,139040363
2019,9,139045063
2019,4,139040372
2019,9,139045067
2019,8,139045085
2019,9,139045089
2019,9,139040398
2019,9,139045094
2019,6,139040405
2019,6,139045099
2019,6,139045104
2019,6,139045105
2019,6,139045110
2019,6,139045109
2019,6,139045114
2019,6,139045113
2019,6,139045121
2019,6,139045120
2019,11,139045142
2019,8,139040453
2019,8,139040452
2019,9,139045146
2019,9,139045148
2019,9,139045147
2019,9,139045152
2019,8,139045162
2019,9,139045168
2019,8,139040503
2019,8,139040502
2019,6,139045188
2019,9,139045187
2019,6,139045193
2019,6,139045192
2019,9,139045207
2019,6,139045214
2019,6,139045213
2019,6,139045216
2019,9,139040533
2019,6,139045237
2019,6,139040535
2019,9,139045245
2019,9,139045249
2019,6,139045257
2019,9,139045261
2019,9,139045267
2019,9,139045269
2019,6,139045271
2019,6,139045270
2019,9,139045278
2019,6,139045286
2019,6,139045285
2019,9,139045295
2019,9,139045296
2019,9,139045300
2019,6,139040566
2019,6,139040565
2019,9,139045311
2019,1,139040571
2019,8,139045316
2019,8,139045317
2019,6,139045341
2019,6,139045342
2019,6,139045355
2019,6,139040589
2019,9,139045371
2019,9,139045379
2019,6,139045381
2019,6,139045382
2019,9,139045386
2019,6,139045393
2019,6,139045413
2019,1,139045418
2019,9,139045434
2019,6,139045453
2019,9,139045454
2019,6,139040633
2019,6,139040634
2019,9,139045472
2019,9,139045498
2019,9,139045499
2019,9,139045511
2019,9,139045525
2019,9,139045530
2019,6,139040676
2019,6,139045534
2019,6,139045537
2019,6,139044229
2019,9,139044239
