"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,129146690,5
2019,129146725,5
2019,129146752,5
2019,129151536,4
2019,129151535,4
2019,129146773,5
2019,129151548,4
2019,129146792,5
2019,129146796,4
2019,129146807,4
2019,129151480,5
2019,129151507,4
2019,129151506,4
2019,129146750,3
2019,129146775,4
2019,129151556,5
2019,129151565,5
2019,129151574,5
2019,129151576,5
2019,129151579,5
2019,129151582,5
2019,129151584,5
2019,129151586,5
2019,129151588,5
2019,129151589,5
2019,129151587,5
2019,129151592,4
2019,129151601,5
2019,129151606,6
2019,129151608,5
2019,129151612,5
2019,129151621,5
2019,129151622,5
2019,129151623,5
2019,129151625,5
2019,129151627,5
2019,129151626,4
2019,129151629,5
2019,129151637,5
2019,129146906,4
2019,129151744,5
2019,129151458,4
2019,129151463,5
2019,129151483,5
2019,129151496,4
2019,129151505,4
2019,129151511,4
2019,129151512,4
2019,129151521,4
2019,129151523,4
2019,129151525,4
2019,129146756,5
2019,129146757,5
2019,129151550,4
2019,129151553,5
2019,129151575,4
2019,131686831,4
2019,131708323,4
2019,131708356,5
2019,131686861,4
2019,131686871,4
2019,131686875,4
2019,131708374,5
2019,131686876,5
2019,131686879,4
2019,131686898,5
2019,131686914,5
2019,131686985,3
2019,131686993,5
2019,131687036,5
2019,131687052,5
2019,131687065,4
2019,131687070,4
2019,131687075,5
2019,131687074,5
2019,131687086,4
2019,131687113,5
2019,131708606,4
2019,131708611,4
2019,131687135,5
2019,131687136,4
2019,131687138,5
2019,131708624,5
2019,131708625,4
2019,131687157,6
2019,131687161,5
2019,131708643,5
2019,131687195,4
2019,131687281,6
2019,131708755,4
2019,131708757,5
2019,131687298,4
2019,131687321,4
2019,128618240,5
2019,128613136,4
2019,128613135,3
2019,128618244,5
2019,128613170,4
2019,128618283,4
2019,128623427,4
2019,128618291,5
2019,128618308,4
2019,128618328,4
2019,128618358,4
2019,128618363,4
2019,128618372,5
2019,128618380,5
2019,128618321,5
2019,128618322,5
2019,128618340,4
2019,128618343,5
2019,128618349,4
2019,128618390,5
2019,128618402,2
2019,128618407,5
2019,128618422,4
2019,128618426,5
2019,128618429,4
2019,128618434,5
2019,128618436,4
2019,128618447,4
2019,128618453,5
2019,128618464,5
2019,128618478,2
2019,128618492,4
2019,128623571,4
2019,128618498,5
2019,128618501,5
2019,128618502,5
2019,128618504,4
2019,128618511,4
2019,128618512,5
2019,128618514,5
2019,128618515,4
2019,128618536,5
2019,128618538,4
2019,128618542,5
2019,128618549,4
2019,128618558,5
2019,128618562,5
2019,128618563,4
2019,128618567,4
2019,128623639,5
2019,128618572,4
2019,128618571,4
2019,128618576,5
2019,128618577,5
2019,128618580,5
2019,128618593,4
2019,128618241,5
2019,128618245,5
2019,128623361,5
2019,128618235,4
2019,128618250,4
2019,129151799,4
2019,129151735,2
2019,129151777,5
2019,129151810,4
2019,129151845,5
2019,129155571,4
2019,129151859,5
2019,129155570,1
2019,129151893,4
2019,129151902,4
2019,129151926,5
2019,129151927,5
2019,129151930,4
2019,129151935,5
2019,129151934,5
2019,129151964,4
2019,129146880,4
2019,129151718,5
2019,129151877,4
2019,129151881,5
2019,129151890,4
2019,129151904,5
2019,129151919,5
2019,129151943,5
2019,129151945,5
2019,129151946,5
2019,129151973,4
2019,129152005,5
2019,129152007,4
2019,129152010,5
2019,129152014,4
2019,129152018,4
2019,129152025,5
2019,129152037,5
2019,129152047,5
2019,129152061,4
