"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2019,122850008,120111840,6,,
2019,122850019,120111849,7,,
2019,122829356,120111892,7,,
2019,122829355,120111892,6,,
2019,122850056,120111892,5,,
2019,122850069,120111907,4,,
2019,122850094,120111937,5,,
2019,122850095,120111937,7,,
2019,122850096,120111939,5,,
2019,122850097,120111939,7,,
2019,122850103,120111946,4,,
2019,122850119,120107025,6,,
2019,122850142,120111983,6,,
2019,122829430,120107067,5,,1
2019,122829429,120107067,4,,
2019,122829432,120107067,7,3,
2019,122850186,120112019,7,1,
2019,122829496,120107147,4,,
2019,122829498,120107147,7,,
2019,122850246,120112072,7,,
2019,122829537,120112091,4,,
2019,122854855,120107497,7,,
2019,122854908,120107549,4,,
2019,122850604,120107549,7,,
2019,122854944,120107578,7,,
2019,122855342,120112669,7,,
2019,122855401,120108043,7,,
2019,122850874,120112723,7,,
2019,122855464,120112771,7,1,
2019,122855581,120108184,4,,
2019,122851044,120108190,7,,
2019,122851043,120108190,4,,
2019,122855591,120112904,6,,
2019,122855696,120108293,5,,
2019,122851149,120108293,7,,
2019,122851199,120113056,4,,
2019,122851200,120113056,6,,
2019,122851210,120113068,6,,
2019,122851211,120113071,7,,
2019,122851222,120113089,7,,
2019,122851226,120108422,7,,
2019,122851235,120113096,7,,
2019,122851266,120113132,4,,
2019,122851270,120113132,7,,
2019,122851313,120113168,7,,
2019,122855890,120113210,4,,
2019,122851370,120113222,6,,
2019,122851382,120113235,7,,
2019,122851379,120113235,5,,
2019,122855906,120113275,4,,
2019,122855911,120113281,6,,
2019,122851426,120113291,7,,
2019,122855931,120113314,7,,
2019,122851474,120113334,7,,
2019,122851473,120113334,4,,
2019,122855958,120113358,6,,
2019,122851509,120113373,7,,
2019,122851512,120113376,7,,
2019,122851531,120113388,4,,
2019,122851536,120113391,4,,
2019,122855978,120113399,7,,
2019,122855998,120108606,5,,
2019,122856000,120108606,7,,
2019,122851577,120108606,6,,
2019,122851606,120108630,7,,
2019,122851605,120108630,5,,
2019,122851621,120113468,6,,
2019,122856030,120108642,4,,
2019,122856035,120108649,1,,
2019,122851642,120108649,6,,
2019,122856051,120108667,7,,
2019,122829322,120111843,7,,
2019,122829331,120111857,3,,
2019,122850025,120111859,7,1,
2019,122850029,120111862,7,,
2019,122850036,120111871,6,,
2019,122850054,120111889,4,,
2019,122850092,120111934,7,,
2019,122850091,120111934,5,,
2019,122850098,120111940,4,,
2019,122850107,120111949,4,,
2019,122850106,120111949,1,,
2019,122850109,120111951,5,,1
2019,122850110,120111951,7,1,
2019,122850114,120111955,7,,
2019,122829396,120111962,7,,
2019,122850121,120111962,5,,
2019,122829400,120107027,7,,
2019,122850126,120107037,6,,
2019,122850137,120111977,7,,
2019,122850143,120111985,4,,
2019,122850162,120112001,7,,
2019,122850161,120112001,4,,
2019,122850164,120112003,4,,
2019,122850169,120112007,7,,
2019,122829461,120107102,7,,
2019,122829490,120107138,7,,
2019,122829516,120112057,7,,
2019,122850242,120112068,6,,
2019,122829532,120107186,7,,
2019,122829530,120107186,5,,
2019,122850253,120112085,4,,
2019,122829545,120112102,4,,
2019,122829547,120112102,7,,
2019,122829550,120112104,4,,
2019,122850268,120112104,7,,
2019,122829560,120107215,4,,
2019,122850285,120107222,5,,
2019,122829564,120107222,7,,
2019,122829567,120107223,7,,
2019,122829566,120107223,4,,
2019,122829568,120107224,5,,1
2019,122829569,120107224,7,1,
2019,122854578,120107234,7,,
2019,122854584,120107246,5,,1
2019,122854586,120107246,7,1,
2019,122850317,120112137,1,,
2019,122850318,120112137,7,,
2019,122854604,120112144,7,,
2019,122850326,120112144,5,,
2019,122850331,120112149,7,,
2019,122850336,120112152,6,,
2019,122854610,120112152,5,,
2019,122854619,120107279,6,,
2019,122850355,120112176,7,,
2019,122850357,120112177,6,,
2019,122850363,120112185,1,,
2019,122850371,120112191,7,,
2019,122850377,120112200,4,,
2019,122850381,120107315,6,,
2019,122854662,120112206,7,,
2019,122854661,120107322,4,,
2019,122854664,120107323,7,,
2019,122854668,120107329,7,,
2019,122854673,120107331,5,,1
2019,122850394,120107331,7,1,
2019,122850395,120112214,4,,
