"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,131713223,145521519
2019,131709395,145521487
2019,131709436,145521534
2019,131709442,145521094
2019,131713252,145521553
2019,131709467,145521564
2019,131709467,145521562
2019,131709490,145521141
2019,131709501,145521612
2019,131713306,145521631
2019,131709528,145526178
2019,131713333,145526211
2019,131713345,145521680
2019,131713376,145521719
2019,131713392,145521740
2019,131713392,145521739
2019,131713422,145526309
2019,131713437,145521787
2019,131713447,145526331
2019,131713447,145526330
2019,131713447,145526332
2019,131713467,145526363
2019,131709717,145526386
2019,131709757,145521869
2019,131713522,145521889
2019,131713522,145526461
2019,131709789,145526487
2019,131713637,145522026
2019,131713637,145526508
2019,131709808,145522028
2019,131709810,145522028
2019,131709811,145522028
2019,131713650,145522039
2019,131709826,145522039
2019,131709831,145526535
2019,131709877,145522076
2019,131709877,145526583
2019,131709939,145522114
2019,131709939,145522115
2019,131713720,145522120
2019,131709950,145522121
2019,131709960,145526678
2019,131709960,145522130
2019,131709959,145522131
2019,131709972,145526693
2019,131709974,145526692
2019,131709993,145526710
2019,131709993,145522153
2019,131710048,145522174
2019,131710048,145526772
2019,131710083,145526814
2019,131710083,145526813
2019,131710099,145522210
2019,131710099,145522209
2019,131710111,145526847
2019,131710111,145526846
2019,131713798,145526860
2019,131713801,145522227
2019,131710128,145526873
2019,131710128,145522229
2019,131710139,145522241
2019,131713822,145526895
2019,131713829,145522260
2019,131713959,145527134
2019,131713959,145527132
2019,131710363,145527149
2019,131710372,145527156
2019,131710397,145527180
2019,131710404,145527190
2019,131714000,145527198
2019,131710418,145522475
2019,131710422,145522476
2019,131710422,145527207
2019,131710426,145527220
2019,131710426,145527219
2019,131710426,145527218
2019,131714025,145527241
2019,131714026,145527240
2019,131714033,145522508
2019,131714042,145522517
2019,131710472,145527276
2019,131710471,145527276
2019,131714061,145522534
2019,131714063,145527309
2019,131714063,145522536
2019,131710497,145522535
2019,131710496,145522537
2019,131710494,145522537
2019,131710502,145527313
2019,131714078,145522557
2019,131714081,145527324
2019,131714086,145527335
2019,131710559,145527385
2019,131714113,145522591
2019,131714113,145522592
2019,131710577,145527404
2019,131710585,145527414
2019,131710588,145527417
2019,131710591,145527420
2019,131714140,145522624
2019,131710598,145527429
2019,131714146,145527432
2019,131714162,145522638
2019,131710609,145522646
2019,131710624,145527472
2019,131710623,145527472
2019,131710626,145527474
2019,131710631,145527478
2019,131710630,145527479
2019,131710634,145527482
2019,131710649,145527502
2019,131710655,145527511
2019,131710660,145522678
2019,131710665,145527520
2019,131710665,145527519
2019,131710672,145527530
2019,131710672,145527529
2019,131710675,145522694
2019,131710675,145522695
2019,131710679,145522700
2019,131710679,145522699
2019,131710686,145527556
2019,131710686,145527555
2019,131710699,145522723
